etapa,data,pedido,resumo_solucao,arquivos
1,2026-04-05,"Continuidade do projeto","Retomada de contexto e leitura dos arquivos principais","index.html; apps-script.gs"
2,2026-04-05,"Parametrizar razao de descida fora de termica","Campo novo no painel e uso de sinkRateMps no loop","index.html"
3,2026-04-05,"Atualizar manual","Documentada a nova razao de descida e sua faixa","ajuda.html"
4,2026-04-05,"Recriar termicas por intervalo parametrizavel","Adicionado thermalRefreshSec e timer de regeneracao","index.html; ajuda.html"
5,2026-04-05,"Adicionar nuvens e urubus em 50% das termicas","Marcadores visuais com sorteio cloud/vultures","index.html"
6,2026-04-05,"Atualizar manual dos marcadores","Texto de pistas visuais e regra de 50%","ajuda.html"
7,2026-04-05,"Nuvens/urubus nao podem sumir ao ocultar circulos","Separacao do desenho de circulos e marcadores","index.html"
8,2026-04-05,"Fundo sem Google Maps muito escuro","Fundo alterado para azul claro","index.html"
9,2026-04-05,"Aviao perdeu contraste","Aviao com contorno preto + traco branco","index.html"
10,2026-04-05,"Urubus giram no centro exato","Offset de orbita aleatorio dentro da termica","index.html"
11,2026-04-05,"Migrar logs para PHP + MySQL","Criados endpoint PHP e script SQL; envio adaptado","index.html; log.php; database_setup.sql"
12,2026-04-05,"Onde configurar credenciais","Orientacao para configurar db_host/db_user/db_pass/db_name","log.php"
13,2026-04-05,"Dados nao gravam no banco","Fix bind_param; fix banco no SQL; criado debug","log.php; database_setup.sql; log_debug.php"
14,2026-04-05,"Access denied no debug","Ajuste mysqli_report e orientacao de permissoes no cPanel","log.php; log_debug.php"
15,2026-04-05,"Instrumentos pequenos","Secao B reduzida e instrumentos ampliados","index.html"
16,2026-04-06,"Exportar conversa","Gerados TXT resumido, TXT detalhado e CSV","conversa_projeto_simulador.txt; conversa_projeto_simulador_detalhada.txt; conversa_projeto_simulador.csv"
